Time	WaterLevel_cm
2012060118	-0.281640
2012060119	-0.492870
2012060120	-0.633690
2012060121	-0.774510
2012060122	-0.915330
2012060123	-1.056150
2012060200	-1.126560
2012060201	-1.267380
2012060202	-1.408200
2012060203	-1.478610
2012060204	-1.549020
2012060209	0.070410
2012060210	0.140820
2012060211	0.140820
2012060212	0.140820
2012060213	0.140820
2012060214	0.140820
2012060215	0.211230
2012060216	0.140820
2012060217	0.140820
2012060218	0.140820
2012060219	0.140820
2012060220	0.140820
2012060221	0.070410
2012060222	0.070410
2012060223	0.070410
2012060300	0.070410
2012060301	0.070410
2012060302	0.140820
2012060303	0.140820
2012060304	0.140820
2012060305	0.140820
2012060306	0.140820
2012060307	0.070410
2012060308	0.070410
2012060309	0.070410
2012060310	0.070410
2012060311	0.140820
2012060312	0.140820
2012060313	0.140820
2012060314	0.140820
2012060315	0.140820
2012060316	0.140820
2012060317	0.140820
2012060318	0.140820
2012060319	0.140820
2012060320	0.070410
2012060321	0.070410
2012060322	0.070410
2012060323	0.070410
2012060400	0.070410
2012060401	0.070410
2012060402	0.070410
2012060403	0.070410
2012060404	0.070410
2012060405	0.070410
2012060406	0.070410
2012060407	0.070410
2012060408	0.070410
2012060409	0.070410
2012060410	0.070410
2012060411	0.070410
2012060412	0.070410
2012060413	0.070410
2012060414	0.070410
2012060415	0.070410
2012060416	0.070410
2012060417	0.070410
2012060420	0.070410
2012060423	0.070410
2012060500	0.070410
2012060501	0.070410
2012060502	0.070410
2012060503	0.070410
2012060504	0.070410
2012060505	0.070410
2012060506	0.070410
2012060507	0.070410
2012060508	0.070410
2012060509	0.070410
2012060510	0.070410
2012060511	0.070410
2012060512	0.070410
2012060513	0.070410
2012060514	0.070410
2012060515	0.070410
2012060516	0.070410
2012060517	0.070410
2012060518	0.070410
2012060519	0.070410
2012060520	0.070410
2012060521	0.070410
2012060522	0.070410
2012060523	0.070410
2012060600	0.070410
2012060601	0.070410
2012060602	0.070410
2012060603	0.070410
2012060604	0.070410
2012060605	0.070410
2012060606	0.070410
2012060607	0.070410
2012060608	0.070410
2012060609	0.070410
2012060610	0.070410
2012060612	0.070410
2012060613	0.070410
2012060614	0.070410
2012060615	0.070410
2012060616	0.070410
2012060617	0.070410
2012060618	0.070410
2012060619	0.070410
2012060620	0.070410
2012060621	0.070410
2012060622	0.070410
2012060623	0.070410
2012060700	0.070410
2012060702	0.070410
2012060703	0.070410
2012060704	0.070410
2012060705	0.070410
2012060706	0.070410
2012060707	0.070410
2012060708	0.070410
2012060709	0.070410
2012060710	0.070410
2012060723	0.070410
2012060800	0.070410
2012060801	0.070410
2012060802	0.070410
2012060805	0.070410
2012060806	0.070410
2012060807	0.070410
2012060808	0.070410
2012060809	0.070410
2012060810	0.070410
2012060811	0.070410
2012060812	0.070410
2012060816	0.070410
2012060817	0.070410
2012060819	0.070410
2012060820	0.070410
2012060901	0.070410
2012060902	0.070410
2012060903	0.070410
2012060904	0.070410
2012060905	0.070410
2012060906	0.070410
2012060907	0.070410
2012060908	0.070410
2012060909	0.070410
2012060910	0.070410
